index,metadata,proba_canon,prediction,accord
1887_Zola-Emile_La-terre,canon,0.8334818693600946,canon,True
1886_Villiers-de-l-Isle-Adam_L-Eve-future,non_canon,0.5318590546950142,canon,False
1923_Proust-Marcel_La-Prisonniere,canon,0.7107031370422262,canon,True
1868_Zola-Emile_Therese-Raquin,canon,0.6917967179613057,canon,True
1960_Gary-Romain_La-promesse-de-l-aube,canon,0.6978123129754114,canon,True
2000_Daeninckx-Didier_Ethique-en-toc,non_canon,0.5,canon,False
1888_Zola-Emile_Le-reve,canon,0.7668780892850598,canon,True
1970_Delbo-Charlotte_Auschwitz-et-apres_II--Une-connaissance-inutile,non_canon,0.5273332798869337,canon,False
1910_Audoux-Marguerite_Marie-Claire,canon,0.3519426204155411,non_canon,False
1955_Dhotel-Andre_Le-pays-ou-l-on-n-arrive-jamais,canon,0.4474304716419258,non_canon,False
1886_Zola-Emile_L-oeuvre,canon,0.9012173128270495,canon,True
1864_ Verne-Jules_Voyage-au-centre-de-la-Terre,canon,0.45975425734050795,canon,True
1950_Simenon-Georges_Un-Noel-de-Maigret,non_canon,0.29279778031676335,non_canon,True
1860_Goncourt-Edmond-de-Goncourt-Jules-de_Charles-Demailly,canon,0.8591186636138509,canon,True
1873_Daudet-Alphonse_Contes-du-lundi,canon,0.6392190541491158,canon,True
1882_Chazel-Prosper_Histoire-d-un-forestier,non_canon,0.1925240132798703,non_canon,True
1877_Zola-Emile_L-assommoir,canon,0.8412775758362624,canon,True
2002_Daeninckx-Didier_Leurre-de-verite-et-autres-nouvelles,non_canon,0.3185495502127975,non_canon,True
1914_Roussel-Raymond_Locus-Solus,non_canon,0.553356787542993,canon,False
1884_Zola-Emile_La-joie-de-vivre,canon,0.7858694282091027,canon,True
1922_Martin-du-Gard-Roger_Les-Thibault_Tome-I-Le-Cahier-gris,non_canon,0.44337489759292414,non_canon,True
2017_Dabos-Christelle_La-Passe-miroir_3-La-Memoire-de-Babel,non_canon,0.4315982368967091,non_canon,True
1892_Colomb-Josephine_Les-Conquetes-d-Hermine,non_canon,0.2444424603066482,non_canon,True
2007_Bergounioux-Pierre_Les-forges-de-Syam,non_canon,0.4502665916812457,non_canon,True
1990_Volodine-Antoine_Lisbonne-derniere-marge,non_canon,0.7645307445632733,canon,False
1956_Gary-Romain_Les-Racines-du-Ciel,canon,0.6197763029567813,canon,True
1874_Zola-Emile_La-conquete-de-Plassans,canon,0.41865785515322335,non_canon,False
1932_Simenon-Georges_L-ombre-chinoise,non_canon,0.29279778031676335,non_canon,True
1975_Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi,canon,0.35518276539200044,non_canon,False
1911_Gautier-Judith_En-chine-Merveilleuses-histoires,non_canon,0.6362413921041737,canon,False
1998_Daeninckx-Didier_Cannibale,canon,0.35066893365773627,non_canon,False
1999_Volodine-Antoine_Des-anges-mineurs,canon,0.6815123823061525,canon,True
1895_de-Lano-Pierre_Carnet-d-une-femme,non_canon,0.4082567556126475,non_canon,True
1864_Goncourt-Edmond-de-Goncourt-Jules-de_Renee-Mauperin,canon,0.5794201782490236,canon,True
1826_Ginouvier-J-F-T._Gustave-et-Aspais-ou-Les-victimes-des-prejuges-de-l-epoque_tome-3,non_canon,0.16582010207153527,non_canon,True
