doc_name,date,auteur,titre,gender,subgenre,canon_roman,canon_auteur,bac,brevet,lm,sup,prix,gf,pleiade,gouv
1903_Vogue-Eugene-Melchior-de_Le-Maitre-de-la-mer,1903,eugene melchior de vogue,le maitre de la mer,male,roman d'aventures,non_canon,non_canon,0,0,0,0,0,0,0,0
1899_Boylesve-Rene_Mademoiselle-Clocque,1899,rene boylesve,mademoiselle clocque,male,roman historique,non_canon,non_canon,0,0,0,0,0,0,0,0
1882_Verne-Jules_Le-rayon-vert,1882,jules verne,le rayon vert,male,,non_canon,canon,0,0,0,0,0,0,1,0
2006_Bergounioux-Pierre_La-fin-du-monde-en-avançant,2006,pierre bergounioux,la fin du monde en avançant,male,non-fiction,non_canon,canon,0,0,0,0,0,0,0,0
1926_Genevoix-Maurice_La-boite-a-peche,1926,maurice genevoix,la boite a peche,male,,non_canon,canon,0,0,1,0,0,0,0,0
1874_Erckmann-Chatrian_Les-annees-de-college-de-maitre-Nablot,1874,chatrian erckmann,les annees de college de maitre nablot,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
2013_Toussaint-Jean-Philippe_Nue,2013,jean philippe toussaint,nue,male,cycles et séries,non_canon,canon,0,0,0,0,0,0,0,0
1921_Bourget-Paul_L-Ecuyere,1921,paul bourget,l ecuyere,male,,non_canon,canon,0,0,1,0,0,0,0,0
1878_Boisgobey-Fortune-du_Le-crime-de-l-Opera_2,1878,fortune du boisgobey,le crime de l opera,male,policier,non_canon,non_canon,0,0,0,0,0,0,0,0
1904_Gautier-Judith_Le-paravent-de-soie-et-d-or,1904,judith gautier,le paravent de soie et d or,female,nouvelles,non_canon,non_canon,0,0,0,0,0,0,0,0
1976_Sarraute-Nathalie_disent-les-imbeciles,1976,nathalie sarraute,disent les imbeciles,female,,non_canon,canon,0,0,1,0,0,0,1,0
1873_L-Epine-Ernest_La-vie-a-grand-orchestre--charivari-parisien,1873,epine ernest l,la vie a grand orchestre  charivari parisien,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1882_Uchard-Mario_La-Buveuse-de-perles,1882,mario uchard,la buveuse de perles,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1982_Yourcenar-Marguerite_Comme-l-eau-qui-coule,1982,marguerite yourcenar,comme l eau qui coule,male,roman historique,non_canon,canon,0,0,0,0,0,0,1,0
1851_Goncourt-Edmond-de-Goncourt-Jules-de_En-18,1851,edmond de goncourt jules de goncourt,en 18,male,,non_canon,canon,0,0,0,0,0,0,0,0
1845_Dumas-Alexandre_Les-freres-Corses,1845,alexandre dumas,les freres corses,male,,non_canon,canon,0,0,0,0,0,0,1,0
1816_Barthelemy-Hadot-Marie-Adelaide_La-Vierge-de-l-Indostan-ou-les-Portugais-au-Malabar_(Tome-1),1816,hadot marie adelaide barthelemy,la vierge de l indostan ou les portugais au malabar,female,roman historique,non_canon,non_canon,0,0,0,0,0,0,0,0
1861_Villars-Fanny_Marie-et-Marguerite-histoire-du-XIIIe-siecle,1861,fanny villars,marie et marguerite histoire du xiiie siecle,female,roman historique,non_canon,non_canon,0,0,0,0,0,0,0,0
1880_Fleuriot-Zenaide_Tranquille-et-Tourbillon,1880,zenaide fleuriot,tranquille et tourbillon,female,littérature jeunesse,non_canon,non_canon,0,0,0,0,0,0,0,0
1877_Riviere-Henri_Edmee-Le-Chatiment-Flavien,1877,henri riviere,edmee le chatiment flavien,male,nouvelles,non_canon,non_canon,0,0,0,0,0,0,0,0
1868_Ponson-du-Terrail-Pierre_Rocambole-Les-Miseres-de-Londre_Tome-III-La-Cage-aux-oiseaux,1868,du terrail pierre ponson,rocambole les miseres de londre,male,roman d'aventures,non_canon,non_canon,0,0,0,0,0,0,0,0
1854_Feval-Paul_Les-Parvenus,1854,paul feval,les parvenus,male,roman d'aventures,non_canon,non_canon,0,0,0,0,0,0,0,0
1886_Zola-Emile_L-oeuvre,1886,emile zola,l oeuvre,male,cycles et séries,canon,canon,1,0,1,0,0,0,1,0
1926_Audoux-Marguerite_De-la-ville-au-moulin,1926,marguerite audoux,de la ville au moulin,female,,non_canon,non_canon,0,0,0,0,0,0,0,0
1827_Janin-Jules_L-Ane-mort-et-la-femme-guillotinee,1827,jules janin,l ane mort et la femme guillotinee,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1910_Cim-Albert_Le-petit-Leveille,1910,albert cim,le petit leveille,male,littérature jeunesse,non_canon,non_canon,0,0,0,0,0,0,0,0
1887_Bloy-Leon_Le-Desespere,1887,leon bloy,le desespere,male,,canon,canon,0,0,0,0,0,1,0,0
2014_Mathieu-Nicolas_Aux-animaux-la-guerre,2014,nicolas mathieu,aux animaux la guerre,male,policier,non_canon,non_canon,0,0,0,0,0,0,0,0
1867_Robert-Adrien_Le-Radieux,1867,adrien robert,le radieux,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1877_Noriac-Jules_La-Falaise-d-Houlgate,1877,jules noriac,la falaise d houlgate,male,roman d'aventures,non_canon,non_canon,0,0,0,0,0,0,0,0
2011_Millet-Richard_La-Fiancee-libanaise,2011,richard millet,la fiancee libanaise,male,,non_canon,canon,0,0,0,0,0,0,0,0
1964_San-Antonio_Berurier-au-serail,1964,antonio san,berurier au serail,male,érotisme,non_canon,non_canon,0,0,0,0,0,0,0,0
1910_Ivoi-Paul-d-_Millionnaire-malgre-lui_tome-2,1910,paul d  ivoi,millionnaire malgre lui,male,roman d'aventures,non_canon,non_canon,0,0,0,0,0,0,0,0
1884_Chavette-Eugene_La-conquete-d-une-cuisiniere_II-Le-tombeur-des-cranes,1884,eugene chavette,la conquete d une cuisiniere,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1951_Delly_Sous-l'œil-des-brahmes,1951,delly,sous l'œil des brahmes,female,roman sentimental,non_canon,non_canon,0,0,0,0,0,0,0,0
