authors,novels,Nb novels
Toussaint-Jean-Philippe,['La-Verite-sur-Marie'],1
Segur-comtesse-de,['Les-Malheurs-de-Sophie'],1
Schwob-Marcel,['Vies-imaginaires'],1
Rufin-Jean-Christophe,['Rouge-Bresil'],1
Rolin-Olivier,['Port-Soudan'],1
Rolin-Jean,['L-Organisation'],1
Riboulet-Mathieu,['Les-oeuvres-de-misericorde'],1
Radiguet-Raymond,['Le-diable-au-corps'],1
Queneau-Raymond,['Zazie-Dans-Le-Metro'],1
Mirbeau-Octave,['Le-journal-d-une-femme-de-chambre'],1
Jenni-Alexis,['L-art-francais-de-la-guerre'],1
Michel-Louise,['Memoires'],1
Chateaubriant-Alphonse-de,['La-Briere'],1
Deville-Patrick,['Peste-et-cholera'],1
Delly,['Contes'],1
Darrieussecq-Marie,['Il-faut-beaucoup-aimer-les-hommes'],1
Daeninckx-Didier,['Cannibale'],1
Cusset-Catherine,['Un-brillant-avenir'],1
Constant-Paule,['Confidence-pour-confidence'],1
Constant-Benjamin,['Adolphe'],1
Combescot-Pierre,['Les-filles-du-Calvaire'],1
Cohen-Albert,['Le-livre-de-ma-mere'],1
Claudel-Philippe,['Le-rapport-de-Brodeck'],1
Chevillard-Eric,['Un-fantome'],1
Cendrars-Blaise,['L-or'],1
Mauriac-François,['Le-baiser-au-lepreux'],1
Celine-Louis-Ferdinand,['Voyage-au-bout-de-la-nuit'],1
Carrere-Emmanuel,['La-classe-de-neige'],1
Cardinal-Marie,['Les-mots-pour-le-dire'],1
Bouvier-Nicolas,['L-usage-du-monde'],1
Bouraoui-Nina,['Mes-mauvaises-pensees'],1
Bloy-Leon,['Le-Desespere'],1
Benoit-Pierre,['L-Atlantide'],1
Beigbeder-Frederic,['Windows-on-the-World'],1
Beckett-Samuel,['Molloy'],1
Audoux-Marguerite,['Marie-Claire'],1
Arlincourt-Charles-Victor,['Le-Solitaire'],1
Dhotel-Andre,['Le-pays-ou-l-on-n-arrive-jamais'],1
Dugain-Marc,['La-chambre-des-officiers'],1
Duhamel-Georges,['Le-notaire-du-Havre'],1
Enard-Mathias,['Zone'],1
Mauriac-Francois,['Un-adolescent-d-autrefois'],1
Marceau-Felicien,['Creezy'],1
Magali,['La-prisonniere'],1
Lemaitre-Pierre,['Au-revoir-la-haut'],1
Leiris-Michel,['L-Age-d-homme'],1
Leger-Nathalie,['Supplement-a-la-vie-de-Barbara-Loden'],1
Le-Clezio-Jean-Marie-Gustave,['Desert'],1
Lautreamont-comte-de,['Les-chants-de-Maldoror'],1
Laurent-Jacques,['Les-betises'],1
Laine-Pascal,['La-dentelliere'],1
Alain-Fournier,['Le-grand-Meaulnes'],1
Ionesco-Eugene,['Le-solitaire'],1
Grimbert-Philippe,['Un-secret'],1
Gracq-Julien,['Le-rivage-des-Syrtes'],1
Germain-Sylvie,['Magnus'],1
Genevoix-Maurice,['Raboliot'],1
Gailly-Christian,['Un-soir-au-club'],1
Fromentin-Eugene,['Dominique'],1
Feval-Paul-fils,['Le-Bossu'],1
Ferney-Alice,['Cherchez-La-Femme'],1
Farrenc-Cesarie,['La-jalousie'],1
Erckmann-Chatrian,['Contes-fantastiques'],1
